"","early_interval","interval.ma","occurrence_no","fad","lad","accepted_name","ex","phylum","class","family","paleolat","paleolng","collection_no","reference_no"
"965","Induan",251.2,882397,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",38.14,88.17,97863,33828
"966","Induan",251.2,496107,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",7.85,56.86,48959,13064
"967","Induan",251.2,987458,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",43.94,22.62,118505,33700
"968","Induan",251.2,1250050,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",12.87,36.38,165012,53993
"969","Induan",251.2,1530118,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-36.76,54.58,214661,74082
"970","Changhsingian",252.17,875870,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-18.62,107.65,95334,33140
"971","Induan",251.2,988101,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",43.91,22.69,118714,33700
"972","Induan",251.2,1172442,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-13.77,106.56,151116,36523
"973","Induan",251.2,955175,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-6.99,117,111753,33176
"974","Induan",251.2,1439840,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-14.74,106.83,200989,67174
"975","Induan",251.2,938986,265.1,157.3,"Claraia",0,"Mollusca","Bivalvia","Claraiidae",-14.36,105.39,108560,33502
